iter	Passed	Remaining
416	2513	3514
417	2518	3507
418	2525	3501
419	2530	3494
420	2536	3488
421	2542	3481
422	2547	3475
423	2554	3469
424	2559	3462
425	2564	3455
426	2571	3450
427	2576	3443
428	2582	3436
429	2587	3429
430	2592	3422
431	2597	3415
432	2603	3408
433	2609	3402
434	2615	3396
435	2622	3392
436	2629	3387
437	2635	3382
438	2642	3376
439	2648	3370
440	2654	3364
441	2661	3360
442	2667	3354
443	2674	3349
444	2681	3343
445	2686	3336
446	2692	3330
447	2698	3325
448	2705	3319
449	2712	3315
450	2717	3307
451	2722	3301
452	2728	3295
453	2734	3288
454	2740	3282
455	2745	3275
456	2751	3269
457	2757	3262
458	2762	3255
459	2767	3249
460	2773	3242
461	2779	3236
462	2785	3230
463	2788	3221
464	2797	3218
465	2803	3212
466	2808	3205
467	2814	3198
468	2819	3191
469	2824	3185
470	2832	3181
471	2838	3175
472	2844	3169
473	2849	3162
474	2855	3155
475	2860	3148
476	2865	3142
477	2873	3137
478	2877	3129
479	2883	3123
480	2888	3116
481	2893	3109
482	2899	3103
483	2904	3096
484	2909	3089
485	2914	3082
486	2920	3075
487	2925	3069
488	2931	3063
489	2936	3056
490	2942	3050
491	2947	3043
492	2952	3036
493	2958	3030
494	2964	3024
495	2969	3017
496	2975	3011
497	2980	3004
498	2985	2997
499	2991	2991
500	2997	2985
501	3002	2978
502	3007	2972
503	3013	2965
504	3019	2959
505	3024	2953
506	3031	2947
507	3037	2941
508	3043	2935
509	3049	2929
510	3054	2923
511	3060	2916
512	3065	2910
513	3071	2903
514	3077	2898
515	3082	2891
516	3087	2884
517	3092	2877
518	3097	2870
519	3110	2871
520	3116	2865
521	3121	2858
522	3127	2852
523	3132	2845
524	3138	2839
525	3143	2832
526	3148	2826
527	3154	2819
528	3159	2813
529	3165	2806
530	3170	2800
531	3175	2793
532	3180	2787
533	3186	2780
534	3192	2774
535	3197	2768
536	3202	2761
537	3208	2754
538	3213	2748
539	3216	2740
540	3221	2733
541	3228	2728
542	3235	2722
543	3242	2718
544	3247	2710
545	3252	2704
546	3257	2697
547	3263	2691
548	3268	2685
