iter	Logloss
0	0.6841463415
1	0.6762633533
2	0.6660631133
3	0.6612920994
4	0.6512381949
5	0.6414361721
6	0.6314022902
7	0.6223761582
8	0.615984512
9	0.6079772205
10	0.5999492366
11	0.5929415075
12	0.5847789485
13	0.5762683403
14	0.5674969929
15	0.5593065215
16	0.5529961935
17	0.5452755812
18	0.5376857106
19	0.5303221168
20	0.525308823
21	0.5178355892
22	0.5105205257
23	0.5053879901
24	0.4989960089
25	0.4925243843
26	0.4873494962
27	0.4815248815
28	0.4783835806
29	0.4721010906
30	0.4666047631
31	0.4620462557
32	0.4576221001
33	0.4533108223
34	0.448413607
35	0.4445052356
36	0.4402071697
37	0.4359057543
38	0.4310897455
39	0.4262240526
40	0.4215474571
41	0.4170104236
42	0.4130560154
43	0.4097572141
44	0.405376974
45	0.4009736596
46	0.3965012713
47	0.3936150528
48	0.3901088063
49	0.3875702649
50	0.3839284013
51	0.3802655476
52	0.3764297113
53	0.3722796929
54	0.368497895
55	0.3653711086
56	0.3619235899
57	0.3596499932
58	0.3566870713
59	0.3537647899
60	0.3511239401
61	0.3496467404
62	0.3459672881
63	0.3429335431
64	0.3405029669
65	0.3374760698
66	0.3353518602
67	0.3325918802
68	0.3297802437
69	0.3274732636
70	0.3241784073
71	0.3216965094
72	0.3198417477
73	0.3181403928
74	0.3159814974
75	0.3139996784
76	0.3116653815
77	0.3092780323
78	0.3067829783
79	0.3051174815
80	0.3030182629
81	0.3008120653
82	0.2985801325
83	0.2968219664
84	0.2948765824
85	0.2926800239
86	0.2908689918
87	0.2888383819
88	0.287082821
89	0.2848527304
90	0.2827665376
91	0.2810544828
92	0.2795483473
93	0.278146474
94	0.2763765661
95	0.2749194262
96	0.2735389151
97	0.2719064108
98	0.2703923295
99	0.2685745984
100	0.2670265198
101	0.2650590106
102	0.2632618974
103	0.2618178577
104	0.2604857468
105	0.258551472
106	0.2573366491
107	0.2557644914
108	0.2550715377
109	0.253395062
110	0.2523798501
111	0.2515316847
112	0.2504610387
113	0.2493764738
114	0.2481937315
115	0.2466054405
116	0.2450999376
117	0.2439176048
118	0.2430055386
119	0.2419447736
120	0.2408134647
121	0.2398997423
122	0.2385131464
123	0.2371573099
124	0.2358024225
125	0.2351413448
126	0.2337395831
127	0.2326575675
128	0.2313518059
129	0.2300340234
130	0.2289883497
131	0.2280056093
132	0.2271461487
133	0.2261541413
134	0.2250232231
135	0.2242784268
136	0.2236678519
137	0.2227120934
138	0.2217899974
139	0.2206767012
140	0.2193579325
141	0.218368828
142	0.2170609451
143	0.2162982475
144	0.2152485173
145	0.2143750819
146	0.2133596281
147	0.2124961667
148	0.2118339352
149	0.2108486641
150	0.2095056487
151	0.2083770008
152	0.2072505858
153	0.206429421
154	0.2055466256
155	0.2048032621
156	0.2038597479
157	0.2028533191
158	0.201817787
159	0.2008101673
160	0.1996448796
161	0.1991717455
162	0.1986241783
163	0.1978855226
164	0.1969986148
165	0.1961065153
166	0.1951734217
167	0.1944370921
168	0.193670003
169	0.1924900334
170	0.1915430581
171	0.1906835975
172	0.1897722942
173	0.1891180643
174	0.1887274207
175	0.1878611867
176	0.1868652158
177	0.1864842299
178	0.1860133101
179	0.185459751
180	0.1845592406
181	0.1837081537
182	0.1829220655
183	0.1822570615
184	0.1815848746
185	0.1809949549
186	0.180438586
187	0.1798284019
188	0.1795295529
189	0.1788771467
190	0.177842638
191	0.1775985904
192	0.1769889832
193	0.1763364838
194	0.1759922307
195	0.175423785
196	0.1750354674
197	0.174305446
198	0.1738081769
199	0.1729224042
200	0.1726193312
201	0.1723313122
202	0.17175814
203	0.1710750115
204	0.1702889791
205	0.1698569879
206	0.1692366809
207	0.1687491812
208	0.1683015033
209	0.1677497864
210	0.1671432867
211	0.1664233324
212	0.1659175966
213	0.1652451306
214	0.1646245259
215	0.1641241678
216	0.1636086069
217	0.1627865303
218	0.1623826934
219	0.161878744
220	0.1615373565
221	0.1610927117
222	0.1607977518
223	0.1601874003
224	0.1597760642
225	0.1594100022
226	0.1586701928
227	0.1584328256
228	0.1579175996
229	0.157539591
230	0.156954435
231	0.1562831227
232	0.1558991781
233	0.1553222191
234	0.154981455
235	0.1544217179
236	0.154080684
237	0.1537545553
238	0.1532092583
239	0.1528696851
240	0.1522938333
241	0.1516500892
242	0.1512566915
243	0.1509240872
244	0.1503067203
245	0.1497557756
246	0.1493092979
247	0.1487929181
248	0.1482625357
249	0.1478450496
250	0.1475635622
251	0.1475258804
252	0.1470328913
253	0.1468300331
254	0.1463176076
255	0.1459652412
256	0.1457157879
257	0.1454304207
258	0.1449811517
259	0.1446662345
260	0.1442665844
261	0.1439991742
262	0.1434666331
263	0.1429924383
264	0.142624441
265	0.1421158581
266	0.1418909585
267	0.1416491904
268	0.1413978577
269	0.1408403908
270	0.1407504384
271	0.1404194157
272	0.1397804819
273	0.1395730088
274	0.1393865167
275	0.1389495477
276	0.1387452661
277	0.1385574248
278	0.1380701484
279	0.1376379525
280	0.1372151259
281	0.1372038865
282	0.1368344749
283	0.1365192134
284	0.1360209581
285	0.1357157172
286	0.1355327978
287	0.135298808
288	0.1350863573
289	0.1347030454
290	0.1343971252
291	0.1342664021
292	0.133764788
293	0.1334263127
294	0.1330663914
295	0.1326559206
296	0.1324565422
297	0.131955626
298	0.1315078177
299	0.1311875878
300	0.1308496243
301	0.130616844
302	0.1304158094
303	0.1300756594
304	0.1298515785
305	0.1295584423
306	0.1290631643
307	0.1288563519
308	0.1286174774
309	0.1282846032
310	0.1279898481
311	0.1278027697
312	0.1276840768
313	0.1275634952
314	0.1274335443
315	0.126838926
316	0.1265546473
317	0.1260098527
318	0.1256575701
319	0.1251666744
320	0.1249883326
321	0.1247276492
322	0.1244882723
323	0.124129514
324	0.1239596297
325	0.1237881172
326	0.1236589385
327	0.1234970558
328	0.1232692625
329	0.1227669134
330	0.1224982657
331	0.1223723435
332	0.1221124975
333	0.1218675195
334	0.1215397532
335	0.1212058463
336	0.1209402317
337	0.1209325093
338	0.1205469922
339	0.120429239
340	0.1201752639
341	0.1200314685
342	0.1197737252
343	0.1195375768
344	0.1192655517
345	0.1188610542
346	0.1186953289
347	0.118357049
348	0.1181315445
349	0.1179259696
350	0.117798568
351	0.1175283479
352	0.1171640629
353	0.1169028957
354	0.116545626
355	0.1161792848
356	0.1158058167
357	0.115547757
358	0.1152530763
359	0.1148528122
360	0.1144973476
361	0.1141593003
362	0.1138263982
363	0.1135682641
364	0.1133715002
365	0.1131671626
366	0.1129209658
367	0.1124927707
368	0.1122917361
369	0.1118488498
370	0.1115293642
371	0.1111638697
372	0.1108916027
373	0.1106260067
374	0.1101606229
375	0.1100386085
376	0.1097428671
377	0.1094559367
378	0.1091080828
379	0.108597695
380	0.1082948173
381	0.1079774903
382	0.1077490458
383	0.1074920282
384	0.1071832238
385	0.1067001436
386	0.1064197819
387	0.1063165432
388	0.1060067247
389	0.1056225474
390	0.1052873937
391	0.1051207566
392	0.1048086678
393	0.1045617266
394	0.1044515098
395	0.1039629308
396	0.1036520981
397	0.103541323
398	0.1033077519
399	0.1029550785
400	0.102654471
401	0.1023605254
402	0.1021793086
403	0.1018217692
404	0.1015664263
405	0.1013160054
406	0.1010902312
407	0.1008336137
408	0.1006507036
409	0.1004437237
410	0.1002138836
411	0.1000095088
412	0.09970682656
413	0.09950181915
414	0.09918079841
415	0.09890624256
416	0.09867536033
417	0.09853002036
418	0.09821155827
419	0.0979623748
420	0.09764117729
421	0.09737368328
422	0.09706727935
423	0.09694508808
424	0.09679180238
425	0.09658993977
426	0.09643204852
427	0.09615092394
428	0.09582285997
429	0.09557990097
430	0.09536112343
431	0.09511891807
432	0.09488602615
433	0.09474992519
434	0.09450643586
435	0.09409116419
436	0.09392241501
437	0.09372378093
438	0.09342848615
439	0.0932310337
440	0.09315430246
441	0.09301532652
442	0.09283357946
443	0.09278650982
444	0.09255311547
445	0.09242481139
446	0.092312008
447	0.09219615285
448	0.09203299546
449	0.09193811184
450	0.09176792982
451	0.09160976875
452	0.09144366195
453	0.09132625301
454	0.09123081114
455	0.09104590997
456	0.09065853212
457	0.09052136119
458	0.09030767301
459	0.09019904718
460	0.09013913783
461	0.08995087786
462	0.08958302009
463	0.08956702628
464	0.08939930055
465	0.08910650858
466	0.08897182185
467	0.08867408939
468	0.08840949826
469	0.0881455026
470	0.08796959854
471	0.0878396104
472	0.08776954093
473	0.08761771598
474	0.0875208971
475	0.08750037217
476	0.08731858788
477	0.08701225839
478	0.08700804361
479	0.08682150492
480	0.08651859935
481	0.08618183601
482	0.08591648195
483	0.08563967449
484	0.08543701172
485	0.08522354684
486	0.08493139686
487	0.0847368566
488	0.08448179292
489	0.08416539634
490	0.08406973118
491	0.08385439617
492	0.08374525861
493	0.08365998617
494	0.08337734502
495	0.08321177785
496	0.08310103998
497	0.08295689094
498	0.08289508354
499	0.08265913987
500	0.08248691094
501	0.0823859052
502	0.08208700971
503	0.08187218643
504	0.08168452193
505	0.0815529707
506	0.08127685175
507	0.0811929098
508	0.08106464293
509	0.08090847295
510	0.08080024719
511	0.08069768766
512	0.08054911916
513	0.08042768153
514	0.08031845093
515	0.08012438518
516	0.07996526579
517	0.07979152959
518	0.07959161154
519	0.07935807763
520	0.07917728889
521	0.0790566049
522	0.07896901573
523	0.07872192569
524	0.0785632808
525	0.07823980378
526	0.07808288016
527	0.07790898579
528	0.07767106498
529	0.07756296483
530	0.07745643244
531	0.07722205185
532	0.0770998978
533	0.07696304321
534	0.07687141605
535	0.07681101357
536	0.07670664438
537	0.07653696944
538	0.07633283196
539	0.07631935957
540	0.076171768
541	0.07612126978
542	0.07599110952
543	0.07584231307
544	0.07583159935
545	0.07556673376
546	0.0753735333
547	0.07528011973
548	0.07509449284
549	0.07499163558
550	0.07487960443
551	0.07475120731
552	0.07465144832
553	0.07452206495
554	0.07441961242
555	0.07421435845
556	0.07407479635
557	0.0739688222
558	0.07371474941
559	0.07340393997
560	0.07327386344
561	0.07310905457
562	0.07301076098
563	0.07278433544
564	0.07257269883
565	0.07235666601
566	0.07225634877
567	0.07217962684
568	0.07204961544
569	0.07178267037
570	0.0715922565
571	0.07150069446
572	0.07138740726
573	0.07134091447
574	0.07120383658
575	0.07109008417
576	0.07097240541
577	0.0708492186
578	0.0705665914
579	0.07042498705
580	0.07026305315
581	0.07018145119
582	0.07008404615
583	0.07000271867
584	0.0699008709
585	0.06970063186
586	0.0696114889
587	0.06959962612
588	0.06959158735
589	0.0694685494
590	0.06923583426
591	0.06908113433
592	0.06901428409
593	0.06893424057
594	0.06883302549
595	0.06867717185
596	0.06861930475
597	0.06846089247
598	0.06823937021
599	0.0680905598
600	0.06807241207
601	0.0678554721
602	0.06772009687
603	0.06755903756
604	0.06746749878
605	0.06742209458
606	0.06730926793
607	0.06707712964
608	0.06688189623
609	0.06664682249
610	0.06653590319
611	0.06642439307
612	0.06632912799
613	0.066107094
614	0.06600018013
615	0.0657962613
616	0.06573521684
617	0.06553947635
618	0.06544461134
619	0.06534243328
620	0.06522833661
621	0.06518839394
622	0.06507663262
623	0.06496897442
624	0.06486480527
625	0.06474809879
626	0.06468682638
627	0.06457464637
628	0.06446800697
629	0.06430539387
630	0.06430255611
631	0.06423306349
632	0.06407524667
633	0.06385935807
634	0.06374029299
635	0.06356306309
636	0.06353708593
637	0.06339119702
638	0.06316801397
639	0.06308029919
640	0.0629940219
641	0.06288411675
642	0.06275623135
643	0.06264488406
644	0.06255588066
645	0.06240606541
646	0.06231161908
647	0.06215625856
648	0.06203404869
649	0.0618609033
650	0.06178500478
651	0.06170192812
652	0.0616287371
653	0.06147833103
654	0.06140087872
655	0.06121958291
656	0.06115100675
657	0.06092740966
658	0.06076658295
659	0.06065195595
660	0.06051198448
661	0.06036027117
662	0.06020166816
663	0.06009213517
664	0.06001886507
665	0.05981757001
666	0.05965656187
667	0.05954507967
668	0.05937589785
669	0.0592839776
670	0.05918061791
671	0.05907050807
672	0.0590437075
673	0.0589607797
674	0.05884718081
675	0.05875046428
676	0.05868879179
677	0.0586204994
678	0.05854623841
679	0.05847205185
680	0.05834277548
681	0.05830558219
682	0.05812010416
683	0.05804195869
684	0.05796441334
685	0.05791898588
686	0.0578272238
687	0.05771905387
688	0.05764600242
689	0.05747557849
690	0.0573785084
691	0.05725360033
692	0.05716149865
693	0.05702372295
694	0.05694281415
695	0.05687918314
696	0.05680663876
697	0.05674538031
698	0.05666886306
699	0.05649884852
700	0.05638562179
701	0.05630374536
702	0.05617027748
703	0.05608028319
704	0.05599062385
705	0.05586621819
706	0.0558644318
707	0.0557236276
708	0.05566587681
709	0.05555640895
710	0.05546365133
711	0.05539830836
712	0.05529506962
713	0.05520882025
714	0.05512173815
715	0.05505616723
716	0.0549805897
717	0.05494843925
718	0.05481131484
719	0.05472581445
720	0.05466988726
721	0.0545452304
722	0.0544949927
723	0.05442088988
724	0.05429640049
725	0.05420864384
726	0.05414904618
727	0.05406037773
728	0.0539330971
729	0.05377518258
730	0.05367971281
731	0.05355902881
732	0.05346757842
733	0.05333621327
734	0.05320369441
735	0.05312867514
736	0.05303529414
737	0.05290201699
738	0.05282080115
739	0.05280063443
740	0.05271570624
741	0.05259552002
742	0.05252528307
743	0.05236236758
744	0.05228624111
745	0.05222074927
746	0.05209955355
747	0.05201773295
748	0.0519485241
749	0.05190491095
750	0.05184703455
751	0.0516903854
752	0.05158331336
753	0.05153950947
754	0.05138703323
755	0.05138399078
756	0.05125506331
757	0.05121553002
758	0.05118205373
759	0.05104692506
760	0.05099614306
761	0.05086574554
762	0.05079467587
763	0.05073632031
764	0.05061412904
765	0.05058449536
766	0.05053683955
767	0.05041475994
768	0.05037088627
769	0.05029489005
770	0.05021252516
771	0.05012995557
772	0.04997087804
773	0.04986299654
774	0.04979495072
775	0.049679491
776	0.04960158744
777	0.049564757
778	0.04948836071
779	0.04945750353
780	0.04939576591
781	0.04922641196
782	0.04916586527
783	0.04908152324
784	0.04901228649
785	0.04892245037
786	0.04884963617
787	0.04877668706
788	0.04859615884
789	0.04849141749
790	0.04846769193
791	0.04846511469
792	0.04836569065
793	0.04828746144
794	0.04823104579
795	0.04815590091
796	0.0479754099
797	0.04794669268
798	0.04786407192
799	0.04776109835
800	0.04769588098
801	0.04761239959
802	0.04747504258
803	0.04742873122
804	0.04741865949
805	0.04732792552
806	0.04722140242
807	0.0471215597
808	0.0470687308
809	0.04701810697
810	0.04699015268
811	0.04696342189
812	0.04689296164
813	0.04676582523
814	0.04671424307
815	0.04658220338
816	0.04654018123
817	0.04646745077
818	0.04638134096
819	0.04631262523
820	0.04626474148
821	0.04611591246
822	0.04608896767
823	0.04597087023
824	0.04596703692
825	0.04590279184
826	0.04580500533
827	0.04574462612
828	0.04566377779
829	0.04550054597
830	0.04538254156
831	0.04527025921
832	0.04518211179
833	0.04511242378
834	0.04505146306
835	0.04501654462
836	0.04490456
837	0.0448751217
838	0.04484749771
839	0.0447885839
840	0.04463837786
841	0.04459262011
842	0.04452560239
843	0.04442634117
844	0.04438553322
845	0.04431915283
846	0.04428225727
847	0.04422589744
848	0.04418804355
849	0.04416634164
850	0.04412536156
851	0.04407085791
852	0.04399844844
853	0.04397489036
854	0.04384632111
855	0.04372925177
856	0.04363054415
857	0.04360355749
858	0.04353316237
859	0.04345364454
860	0.04342671836
861	0.04340798913
862	0.04329799559
863	0.04321868245
864	0.04318646687
865	0.04308956425
866	0.04300839959
867	0.04294705275
868	0.04286819551
869	0.04275599224
870	0.04268059614
871	0.04261653714
872	0.04255818623
873	0.04253724261
874	0.0424745141
875	0.042430459
876	0.04242763519
877	0.04232267054
878	0.04229212505
879	0.04222344189
880	0.04214814814
881	0.04207285439
882	0.0420333118
883	0.04192464875
884	0.04190900384
885	0.04179381859
886	0.04173879856
887	0.04167832165
888	0.04162325975
889	0.04161495116
890	0.04153603344
891	0.04145667844
892	0.04138384563
893	0.04130175056
894	0.04126310581
895	0.04122045563
896	0.04116460754
897	0.04112784223
898	0.04111434192
899	0.0410584473
900	0.04096800176
901	0.0409594373
902	0.04092359775
903	0.04084060018
904	0.0407872735
905	0.04078023957
906	0.04067655424
907	0.04055279988
908	0.04052729723
909	0.04049743559
910	0.04040951613
911	0.04028821806
912	0.04023711507
913	0.04020331313
914	0.04016317042
915	0.04014298044
916	0.04010573131
917	0.04000980098
918	0.0399754594
919	0.03992205829
920	0.03987113208
921	0.03976988909
922	0.03968381649
923	0.0396585604
924	0.03954255639
925	0.03947442218
926	0.03944129013
927	0.03943540061
928	0.03929671311
929	0.03920662112
930	0.03914294359
931	0.03910490362
932	0.03899267708
933	0.03890554847
934	0.03887761046
935	0.03884085678
936	0.0387809986
937	0.03871920981
938	0.03869201846
939	0.03864830064
940	0.03863308604
941	0.03853932823
942	0.03851918476
943	0.03846658846
944	0.03844976658
945	0.03836175872
946	0.03835565055
947	0.03825007183
948	0.03811634343
949	0.03805180061
950	0.03797803274
951	0.03789686343
952	0.0378276476
953	0.03778495556
954	0.03772429722
955	0.0376369895
956	0.03756551975
957	0.03752567943
958	0.03739447477
959	0.03729573227
960	0.03725810865
961	0.03719391707
962	0.03712701332
963	0.03705717412
964	0.03699151016
965	0.03698552294
966	0.03691241102
967	0.03682535451
968	0.03678212515
969	0.03673618828
970	0.03666618161
971	0.03663792261
972	0.03660454169
973	0.03652293508
974	0.03643674385
975	0.03635738652
976	0.03631781601
977	0.03630248744
978	0.03617908664
979	0.0361518069
980	0.03612205691
981	0.03605456934
982	0.03595689913
983	0.03588574805
984	0.0358799004
985	0.0357837049
986	0.03572825688
987	0.03563336396
988	0.03551474781
989	0.03543920982
990	0.03537145475
991	0.0352899877
992	0.03523651681
993	0.03519166156
994	0.03510595647
995	0.03501722289
996	0.0349437481
997	0.03486645861
998	0.03475931214
999	0.03471592694
